id	filename	md5	size	state
783072b3-8454-4bdc-8c3d-fa1e3626afec	TCGA-LGG.b2385109-b1dc-4f23-ba96-69b7e7b7c7d0.gene_level_copy_number.v36.tsv	0c5b7c0010db4abcf18977d8ba84ede3	3446858	released
070d1fde-6b99-4745-872d-9db3367ad533	TCGA-LGG.061d0d69-94b7-4c97-b5ce-757caa5f328c.gene_level_copy_number.v36.tsv	2b9b615d3c4aa9e15789ca9e8426e015	3446737	released
1afcf19a-047b-4891-b3a6-c545d187d69c	TCGA-LGG.db73c1c1-1ba2-4494-986b-e2b674911252.gene_level_copy_number.v36.tsv	4902931a3ab33e576182eb01051c7854	3446911	released
d2c61479-751b-4eab-ab9a-06243964bc3c	TCGA-LGG.a58f8124-8b5c-480a-b6e6-852d4436477f.gene_level_copy_number.v36.tsv	088d8790001ace6fe9ddf78f05d351c6	3446828	released
fe6c88ad-2cbb-4c47-bbaf-c99b7ed25422	TCGA-LGG.6b494b95-ae67-42dc-8755-f851b6b866c5.gene_level_copy_number.v36.tsv	fbb7df40d5a8bf107a48edb30420941f	3447293	released
e0433db8-e545-48e2-b93d-81c86ccb1994	TCGA-LGG.7684e994-17ec-486c-82e5-2339119c85f3.gene_level_copy_number.v36.tsv	e7960b8f59bba6cebb578253b110b1cd	3446705	released
95b53735-d494-4ab0-bc6e-d70c41adba20	TCGA-LGG.d7194be3-a2ae-44af-b2ba-112e59933237.gene_level_copy_number.v36.tsv	16d8c630ad12b65e59da10a998b8e190	3446852	released
6859659c-0074-4205-b626-786d4bd4890b	TCGA-LGG.79e0bd57-c9bd-43fb-93d6-1b8080f08df6.gene_level_copy_number.v36.tsv	d4148db1322a1d55cff5442aa7aeeb10	3446751	released
6b12fdd8-66c5-46da-89ab-e36ab65e5c0f	TCGA-LGG.26303b7f-1d08-4297-bf14-375d62e1a328.gene_level_copy_number.v36.tsv	eac1e11e29b2bb83e4af8b7357319ee4	3446840	released
47953f17-65c4-4dac-a9c1-34d305629955	TCGA-LGG.776b0127-ac57-43de-9c45-85f4b4e80fed.gene_level_copy_number.v36.tsv	e7abdda1b49c9a616caafdfb7a1e1d55	3446825	released
a69c88db-6291-4315-8b8e-5131a26c28d1	TCGA-LGG.319c991d-f6a1-4868-ba56-b215e4f67ef3.gene_level_copy_number.v36.tsv	ed977d89bb751c7f8715cbce19372295	3446738	released
5c9d9dc3-e49d-4630-8cbf-a254836a5035	TCGA-LGG.fd96df0a-f415-4118-bf33-7cd50d8ed722.gene_level_copy_number.v36.tsv	c195188bdfab50aa277b38df7652a8f6	3446834	released
0b1c51cb-e17b-4f5a-8ece-5a82046f094d	TCGA-LGG.003f5063-2d5a-4da5-aa5a-30e54d5ff497.gene_level_copy_number.v36.tsv	00a4b2d66ee1acbca560b7d5c5c95d88	3447172	released
35da58b1-5ca7-472b-a288-18a302067ab8	TCGA-LGG.f3fa214f-fc34-4f63-a511-39ca12c8520a.gene_level_copy_number.v36.tsv	c8c24bae84fdc16b2a403e106e917c9b	3446747	released
7b5a6b49-0c50-4978-9e42-ffe0958992ca	TCGA-LGG.59a86126-dd82-4b76-a03e-6abd13e9a23f.gene_level_copy_number.v36.tsv	70423b4d2c7ed0dc43a8ffd4da28ec05	3446926	released
c1c1b496-3208-42d1-8994-9c5f7d3bebcf	TCGA-LGG.3caf0583-1180-4f65-a532-e47fbc6cfc12.gene_level_copy_number.v36.tsv	f3978d2fdc3f5031e679f85ad7a79fdd	3446747	released
64a1b11f-34e4-491c-bf2d-11f6fa31345f	TCGA-LGG.b2ef449a-0cf5-4d18-96e5-4bc0f292de56.gene_level_copy_number.v36.tsv	4abbf05874a657079603704167ac20d9	3446840	released
02a5de4e-319e-4aa4-9df2-57f2f3970dec	TCGA-LGG.be17c1f3-df4b-4a47-b4b3-c923876c4ad2.gene_level_copy_number.v36.tsv	4ca5333d4852906b3354667a969517d0	3450357	released
e2dcb6bb-b12c-4210-a6fd-cd8ec262c171	TCGA-LGG.b85995bb-71f5-4490-9068-76d76608e67d.gene_level_copy_number.v36.tsv	214671b835dc152e86bb8514c1eab41d	3446837	released
b33bbb7c-421b-4003-9644-aa25537aa63d	TCGA-LGG.3ab30af8-7aea-4127-8bd3-6cca2ba6fae5.gene_level_copy_number.v36.tsv	c20f52ba08cb82fb5984825b314b095f	3446874	released
e58c8a87-93ac-4ea0-9720-51c10b5a7ea8	TCGA-LGG.d5358af2-ffbe-4a9f-89ef-a1670753a3e3.gene_level_copy_number.v36.tsv	18db6d404668869ce042ea42c9f98ebb	3446831	released
2e3aa499-a0f7-4d8a-8164-33fbe34bf779	TCGA-LGG.9639a3af-7505-4e19-b460-483d6e5c75c1.gene_level_copy_number.v36.tsv	4f45a9d1a04318c8abbf3eedfb65a286	3447045	released
3c8f9160-3ede-4e56-b9df-5eb77d8b3a93	TCGA-LGG.b334225d-e040-4355-b842-d0d08eb501b0.gene_level_copy_number.v36.tsv	b705ce6e81e0d99e0996f2cf9d97cc26	3447206	released
f226163c-afcd-4df0-b5e1-53c65867f7af	TCGA-LGG.ff0f26ed-c4b4-4787-add9-5e7c30fd36eb.gene_level_copy_number.v36.tsv	da7c2fa1a2573febb47694293b3f0645	3446834	released
d5c0647f-82cf-4467-8abb-2a1b605b9dc1	TCGA-LGG.13a208a1-d8bb-46c5-a579-073df0b432cd.gene_level_copy_number.v36.tsv	a09c207c2fcae74d4dc85158c7d75d3a	3446837	released
98aa3616-8c53-4de8-ad67-65b931d14d8f	TCGA-LGG.68059f9b-85af-45c2-a5ad-d7456f57eb20.gene_level_copy_number.v36.tsv	fed0f95f5bef6aee78b73ca82aa605e0	3447136	released
636044db-2742-42c0-9cdb-5bf4025d01df	TCGA-LGG.257343f5-aa0c-4238-8af4-d40725c903c9.gene_level_copy_number.v36.tsv	3be0964ae97f4961d95111cd6b4062ad	3446837	released
3d11053e-33bf-498b-922c-afa2198dcc4a	TCGA-LGG.75cd1945-9e65-4945-b754-49ab0146d9f3.gene_level_copy_number.v36.tsv	4d2dc74a19a3854f1e7109419b6ebba3	3446778	released
5a29a898-2017-424c-953c-905c9903e086	TCGA-LGG.3caffdac-e2bd-48c0-ade0-fad107fb1ac9.gene_level_copy_number.v36.tsv	68c8fcf10227fd6e56c21034df83c9fd	3446828	released
2a88310d-031c-49aa-a780-0a7b78714e9d	TCGA-LGG.dd1af384-dbf8-410c-a572-9aaafea358ce.gene_level_copy_number.v36.tsv	dd4c3f3e4ba2669d22822bc66f202cb6	3446705	released
9b0d844b-b003-43d6-8e7e-e44ccd2b7c01	TCGA-LGG.a5bd2a78-e5a6-42b8-8d8e-da3dbd714984.gene_level_copy_number.v36.tsv	a336281a8ca78c5098c61ae2a2c3c9bd	3447102	released
1d4a732a-bfbc-4c83-a0bc-11cd1eba9eef	TCGA-LGG.d703eba5-4fae-46c6-ad92-53a523c433ba.gene_level_copy_number.v36.tsv	d2bc4dbf91dae0f251a95a0c7bbed6f0	3446819	released
9fef75e3-80f4-4169-a97c-34d3a938d376	TCGA-LGG.84ee29ae-f717-4897-b216-e129f9d9ec81.gene_level_copy_number.v36.tsv	f3b43e7edd08572aeadfdc18998040d5	3446837	released
3522f36b-0c17-4d32-b1bf-d65ed13ec847	TCGA-LGG.0480abf8-63b7-41b8-bc98-3e6fb46097db.gene_level_copy_number.v36.tsv	22c0bb49fd44f8bf6d0df7c054fc3c97	3446738	released
aa5bc0fc-c698-4d62-910e-28391b889835	TCGA-LGG.848acf11-f86c-42a7-acb6-79e65b31be72.gene_level_copy_number.v36.tsv	134b64bf7618f67d95de450f5cdf6151	3446825	released
